INDEX,INCOME,MARITAL STATUS,SEX,EDUCATION,JOB,TRAVEL TIME,USE,MILES CLOCKED,CAR TYPE,CAR AGE,CITY,POSTAL CODE
29,64013.81632,Yes,M,High School,Blue Collar,32.71723445,Commercial,7900,Pickup,5,Los Angeles,90049
29,64013.81632,Yes,M,High School,Blue Collar,32.71723445,Commercial,7900,Pickup,5,Los Angeles,90049
29,64013.81632,Yes,M,High School,Blue Collar,32.71723445,Commercial,7900,Pickup,5,Los Angeles,90049
29,64013.81632,Yes,M,High School,Blue Collar,32.71723445,Commercial,7900,Pickup,5,Los Angeles,90049
29,64013.81632,Yes,M,High School,Blue Collar,32.71723445,Commercial,7900,Pickup,5,Los Angeles,90049
29,64013.81632,Yes,M,High School,Blue Collar,32.71723445,Commercial,7900,Pickup,5,Los Angeles,90049
70,20891.37315,Yes,F,High School,Blue Collar,39.46701804,Commercial,5100,SUV,7,New York City,12180
71,17492.76645,No,F,High School,,51.79297955,Private,19340,Minivan,1,New York City,12180
72,,Yes,M,Masters,Lawyer,55.31937696,Private,6960,SUV,14,New York City,12180
73,60049.83017,No,F,High School,Clerical,30.74937401,Private,11480,Minivan,1,New York City,12180
74,,No,F,,,15.62481718,Private,22920,Sports Car,10,New York City,12180
75,4478.341531,No,F,High School,Student,7.472455404,Private,6780,SUV,8,New York City,12180
76,62036.46367,Yes,M,High School,Blue Collar,5,Commercial,,Van,1,New York City,12180
77,40528.15278,,F,High School,Blue Collar,53.51257132,Commercial,11950,Sports Car,6,New York City,12180
78,75045.62077,Yes,M,High School,Blue Collar,,,9000,Pickup,10,New York City,12180
79,39599.57172,No,F,High School,Clerical,36.85122135,Private,5460,Sports Car,1,New York City,12180
80,75431.95723,No,F,Bachelors,,50.69083062,Private,16260,SUV,13,New York City,12180
81,0,No,F,High School,Home Maker,40.9560327,Private,14240,SUV,1,New York City,12180
82,0,Yes,F,,Home Maker,10.70078807,Private,8560,Sports Car,14,New York City,12180
83,10616.87423,Yes,M,High School,Student,13.74904287,,7960,Pickup,9,New York City,12180
84,140765.7553,No,M,Masters,,,,29220,Panel Truck,13,New York City,12180
85,34210.31233,Yes,M,High School,Clerical,34.0324406,Private,12880,Minivan,1,San Francisco,55106
86,31176.83129,No,M,High School,Professional,40.73448114,Commercial,25420,Panel Truck,1,San Francisco,55106
87,65702.14547,No,F,Masters,,26.82362994,,15820,SUV,1,San Francisco,55106
88,51869.71691,No,M,High School,Blue Collar,35.57397154,Commercial,24520,Panel Truck,1,San Francisco,55106
89,,,F,Masters,Lawyer,13.143433,Private,18850,Minivan,11,San Francisco,55106
90,0,No,F,High School,Student,18.46276367,,1500,SUV,1,San Francisco,55106
91,28591.85173,Yes,M,,Clerical,,Commercial,9260,Pickup,1,San Francisco,55106
92,64766.06512,Yes,F,High School,Blue Collar,20.38198439,Commercial,11840,SUV,1,San Francisco,55106
93,62426.39554,Yes,F,Bachelors,Manager,,Private,11440,SUV,,San Francisco,55106
94,40094.81041,No,M,High School,,37.88679535,Commercial,22720,Panel Truck,9,San Francisco,55106
95,,Yes,F,High School,Blue Collar,29.80314055,,7420,Sports Car,1,San Francisco,55106
96,,Yes,F,,Blue Collar,29.8097693,Commercial,21840,Sports Car,5,San Francisco,55106
97,,Yes,M,,Blue Collar,63.26903238,Commercial,6400,Pickup,6,San Francisco,55106
98,,Yes,F,,Student,27.49072358,,22260,Pickup,4,San Francisco,55106
99,57062.78859,,F,Masters,Professional,45.78509389,Private,16250,Sports Car,19,San Francisco,55106
100,,No,F,Masters,,42.37646993,Commercial,24410,Pickup,18,San Francisco,55106
101,27624.53579,Yes,F,,Clerical,,Private,18960,Sports Car,1,San Francisco,55106
102,28326.29482,Yes,F,High School,,36.97470077,Commercial,26280,Pickup,8,San Francisco,55106
103,,Yes,F,,Manager,19.37071849,Private,14360,SUV,11,San Francisco,55106
104,64487.8935,Yes,M,,,37.46849501,Commercial,21820,Van,7,San Francisco,55106
105,31675.21527,,F,High School,Blue Collar,24.88144083,Commercial,9130,Sports Car,1,San Francisco,55106
106,66367.40477,Yes,F,High School,Blue Collar,35.17275027,,5560,Sports Car,1,San Francisco,55106
107,29523.52225,Yes,F,High School,Blue Collar,52.0080434,Private,14250,SUV,7,San Francisco,55106
108,,No,M,Masters,,28.17427669,,19530,Van,17,San Francisco,55106
109,94591.18428,,M,,Blue Collar,20.82167317,Commercial,17470,Van,8,San Francisco,55106
110,248.614532,No,F,High School,Student,30.16813294,Private,10590,SUV,11,San Francisco,55106
111,24861.5349,No,F,Bachelors,,,Private,7790,Sports Car,10,San Francisco,55106
112,0,Yes,F,,Home Maker,12.02530439,,6500,Sports Car,,Houston,61701
113,,Yes,F,High School,Professional,34.51305459,Private,9170,SUV,8,Houston,61701
114,22623.01291,Yes,M,High School,,,Private,8060,Pickup,1,Houston,61701
115,40759.5277,No,M,,Professional,,,11880,Pickup,8,Houston,61701
116,69793.55832,No,F,Bachelors,Professional,,Private,14660,SUV,6,Houston,61701
117,25544.2197,No,F,High School,Blue Collar,,Private,4050,Sports Car,1,Houston,61701
118,85408.05815,Yes,F,,Blue Collar,32.31676807,,20170,Minivan,8,Houston,61701
119,3864.526575,,F,High School,Home Maker,26.64660882,Private,16600,SUV,1,Houston,61701
120,65298.10939,Yes,F,High School,,5,Private,8030,SUV,1,Houston,61701
121,,,F,Masters,Lawyer,51.40503103,Private,12880,Minivan,,Houston,61701
122,50138.52192,Yes,F,High School,Blue Collar,21.64869735,Private,9210,SUV,1,Houston,61701
123,92543.42733,Yes,M,Masters,,51.6949148,Commercial,25250,Panel Truck,9,Houston,61701
124,,Yes,M,,Clerical,44.22753904,Commercial,11250,Pickup,11,Houston,61701
125,60972.96216,No,F,Bachelors,Blue Collar,55.69961717,,5800,Sports Car,8,Houston,61701
126,85730.51809,No,F,Bachelors,Blue Collar,13.40621354,Commercial,21660,Pickup,3,Houston,61701
127,0,Yes,M,High School,Student,35.26903717,Commercial,11610,Pickup,1,Houston,61701
128,14166.18683,No,F,,Student,,,23280,Minivan,5,Houston,61701
129,0,Yes,F,High School,Student,47.99664159,Private,7740,Sports Car,1,Houston,61701
130,0,Yes,F,High School,Home Maker,28.21485235,Private,5100,Minivan,9,Houston,61701
131,0,,M,High School,Student,28.85954957,Private,9240,Pickup,1,Houston,61701
132,91221.1218,Yes,F,Bachelors,,,Commercial,1500,Sports Car,7,Houston,61701
133,146338.4425,No,M,Masters,,21.2987556,Commercial,22620,Panel Truck,10,Houston,61701
134,47235.48762,No,M,,Blue Collar,26.5337257,Private,10920,Pickup,1,Houston,61701
135,7302.3125,No,F,High School,Student,27.48940381,,7030,SUV,1,Houston,61701
136,37991.26687,No,F,High School,Manager,,Private,14000,Sports Car,1,Houston,61701
137,133335.0807,No,F,Bachelors,Blue Collar,15.39811427,Commercial,21740,SUV,13,Houston,61701
138,3271.592449,Yes,M,High School,Student,,Private,7200,Minivan,5,Houston,61701
139,58832.76225,Yes,M,,Blue Collar,40.93108005,Commercial,17680,Van,10,Houston,61701
140,63889.85805,Yes,F,Masters,Lawyer,,Private,9100,Sports Car,6,Houston,61701
141,5252.670336,,F,High School,Student,23.21106213,Commercial,23600,Pickup,1,Houston,61701
142,,,F,Bachelors,Clerical,,Private,7080,Sports Car,11,Houston,61701
143,200771.9243,,F,PhD,Doctor,,Private,9270,SUV,,Houston,61701
144,108743.6076,,M,Masters,,,Commercial,5430,Pickup,,Houston,61701
145,48374.40295,Yes,M,High School,Blue Collar,47.86751636,,,Panel Truck,8,Houston,61701
146,,No,F,High School,Blue Collar,35.45421765,Commercial,,Pickup,4,Houston,61701
147,85429.5081,No,F,Bachelors,Blue Collar,13.9205626,Commercial,,SUV,1,Houston,61701
148,81084.16305,No,F,Bachelors,Professional,41.52943692,,,Sports Car,9,Houston,61701
149,204372.9551,Yes,M,,,,Commercial,5100,Pickup,20,Houston,61701
150,33994.88198,Yes,M,High School,Blue Collar,41.73994653,Private,7700,SUV,1,Houston,61701
151,39405.03083,Yes,M,,,28.49023537,Commercial,10940,Pickup,14,Seattle,78207
152,155409.6551,Yes,M,Bachelors,Manager,40.12660307,Commercial,33330,Panel Truck,10,Seattle,78207
153,94565.86351,No,F,Masters,,,,3900,SUV,16,Seattle,78207
154,26874.78534,No,M,,Clerical,18.28520724,Commercial,10450,Pickup,6,Seattle,78207
155,99268.97416,No,M,Bachelors,Professional,34.28536254,Commercial,25910,Panel Truck,10,Seattle,78207
156,31407.30199,No,F,High School,Blue Collar,42.49201622,Commercial,11890,SUV,1,Seattle,78207
157,24546.04016,No,F,High School,Professional,38.6477761,Private,11100,SUV,9,Seattle,78207
158,53356.8697,Yes,M,High School,Professional,17.87372296,Commercial,26810,Panel Truck,1,Seattle,78207
159,52456.45719,Yes,M,Bachelors,Blue Collar,63.01952989,Commercial,9830,Pickup,1,Seattle,78207
160,0,Yes,F,High School,Home Maker,33.17901246,Private,5200,SUV,6,Seattle,78207
161,20147.84803,No,F,Bachelors,Professional,50.28211327,Private,5300,Sports Car,7,Seattle,78207
162,5939.344181,Yes,F,High School,Student,61.04009162,Commercial,16030,SUV,11,Seattle,78207
163,10231.93357,Yes,F,Masters,Home Maker,32.88686876,Private,7820,SUV,1,Seattle,78207
164,16896.56828,No,M,High School,Blue Collar,44.47770323,Commercial,16020,Minivan,10,Seattle,78207
165,45733.92634,Yes,M,High School,Professional,5,Commercial,9870,Pickup,1,Seattle,78207
166,159399.0167,No,F,PhD,Doctor,31.60731719,Private,16810,Sports Car,1,Seattle,78207
167,62176.69857,Yes,M,High School,Blue Collar,33.91776708,Private,4110,Minivan,1,Seattle,78207
168,34636.86107,No,F,High School,Clerical,43.96735832,Private,18780,SUV,10,Seattle,78207
169,98421.21075,Yes,M,High School,Blue Collar,15.64439456,Commercial,25960,Panel Truck,1,Seattle,78207
170,57386.5819,Yes,M,Bachelors,Professional,50.81098881,Private,7330,Minivan,7,Seattle,78207
171,,Yes,M,High School,Clerical,47.99327256,Private,12600,Minivan,1,Seattle,78207
172,91221.1218,Yes,F,Bachelors,Blue Collar,30.66670238,Commercial,15320,SUV,3,Seattle,78207
173,,Yes,F,High School,Blue Collar,9.59220339,Commercial,9730,SUV,1,Seattle,78207
174,59762.84945,No,M,Bachelors,Professional,83.61764316,Commercial,6000,Pickup,1,Seattle,78207
175,92251.21306,No,M,Masters,,47.12234284,Commercial,19970,Van,4,Seattle,78207
176,81294.19215,Yes,F,,Lawyer,13.826072,Private,13930,Pickup,10,Seattle,78207
177,60755.19261,No,F,High School,Blue Collar,43.65991421,Private,11080,SUV,11,Seattle,78207
178,19469.20268,No,F,High School,Clerical,37.56222498,Private,7950,,3,Seattle,78207
179,86551.34847,No,F,,Lawyer,42.52375978,Private,18990,SUV,3,Seattle,78207
180,,Yes,F,High School,Student,44.26113732,,5730,SUV,6,Seattle,78207
181,,Yes,M,Bachelors,Blue Collar,14.8370183,Commercial,17110,Minivan,4,Seattle,78207
182,52107.94909,Yes,M,High School,Clerical,42.33761768,Private,14670,Minivan,6,Seattle,78207
183,34273.08684,No,F,High School,Clerical,52.43095747,Private,11770,Minivan,9,Seattle,78207
184,16073.67032,No,F,High School,Clerical,,Private,13420,,10,Seattle,78207
185,23047.69123,Yes,F,High School,Blue Collar,13.02391969,Commercial,20850,Pickup,4,Seattle,78207
186,176848.9483,Yes,F,Bachelors,Blue Collar,37.10373467,Commercial,26470,SUV,4,Seattle,78207
187,52411.63059,No,F,High School,Blue Collar,5,,20110,Van,1,Columbia,44123
188,0,No,F,Masters,Home Maker,,Private,12790,Minivan,18,Columbia,44123
189,21042.41736,Yes,F,High School,Clerical,,Private,20630,Van,8,Columbia,44123
190,27053.11982,Yes,F,High School,Blue Collar,,Private,4210,Minivan,5,Columbia,44123
191,21891.25119,No,M,High School,Blue Collar,34.23010402,,,Minivan,5,Columbia,44123
192,,No,F,High School,Blue Collar,44.33494856,,12720,Minivan,1,Columbia,44123
193,,No,F,PhD,Home Maker,,Private,17720,Minivan,15,Columbia,44123
194,0,No,M,High School,,23.74883926,Commercial,5800,Sports Car,1,Columbia,44123
195,,No,F,,Blue Collar,5,Commercial,17380,Van,1,Columbia,44123
196,22020.81938,Yes,F,,Clerical,10.15303444,Private,14360,SUV,1,Columbia,44123
197,18774.63587,No,M,Masters,Home Maker,68.01864748,Private,9080,Sports Car,14,Columbia,44123
198,158.223551,No,M,,Student,33.48956381,,10510,Pickup,,Columbia,44123
199,26087.5841,No,F,High School,Blue Collar,40.47509151,Private,5220,Pickup,6,Columbia,44123
200,13022.7003,No,M,High School,,36.88037153,Private,9550,Sports Car,8,Columbia,44123
201,72167.40438,Yes,F,Bachelors,,24.01186302,Commercial,,Van,14,Columbia,44123
202,21533.60807,No,F,High School,Blue Collar,26.61399379,,24360,SUV,1,Columbia,44123
203,40248.26086,No,M,High School,Blue Collar,,Commercial,20280,Van,9,Columbia,44123
204,35096.80269,No,,High School,Clerical,21.05216018,Private,15690,Sports Car,1,Columbia,44123
205,,No,M,High School,Clerical,25.93259739,Commercial,28000,Panel Truck,6,Columbia,44123
206,40923.71519,Yes,F,,Blue Collar,12.2923711,Commercial,9290,Pickup,1,Columbia,44123
207,47991.45003,No,F,Bachelors,Blue Collar,52.54720362,,11300,SUV,9,Columbia,44123
208,,No,F,High School,Clerical,47.60779116,Private,5700,SUV,8,Columbia,44123
209,9536.124182,No,F,High School,Blue Collar,30.26271086,Private,6550,Pickup,1,Columbia,44123
210,50251.7624,No,M,Masters,,62.7835772,Commercial,18050,Van,1,Columbia,44123
211,14705.35906,Yes,F,High School,Home Maker,,Private,11020,SUV,5,Columbia,44123
212,81766.51691,No,M,High School,Blue Collar,30.46871474,Commercial,15570,SUV,7,,44123
213,71206.84229,No,M,Bachelors,Professional,18.70414666,Commercial,,Panel Truck,12,Columbia,44123
214,27823.22137,No,M,Masters,Home Maker,48.96897384,Private,3950,SUV,,Columbia,44123
215,14097.90673,No,M,High School,Clerical,27.11947131,Private,6710,Sports Car,1,Columbia,44123
216,,No,M,Masters,Manager,13.13473171,Private,14780,SUV,12,Washington,11435
217,45038.2097,No,F,Bachelors,Professional,43.07081008,Private,17980,Minivan,16,Washington,11435
218,38128.37473,No,M,High School,Blue Collar,51.40620838,Commercial,23350,SUV,10,Washington,11435
219,93741.01937,,F,Bachelors,,40.1093031,Commercial,14070,SUV,8,Washington,11435
220,,No,M,Bachelors,Professional,10.73205036,Commercial,17560,Van,11,Washington,11435
221,73325.74641,No,M,High School,Blue Collar,27.60611803,,14650,,1,Washington,11435
222,87415.72407,No,M,Bachelors,Blue Collar,29.74638945,Commercial,18330,Van,9,Washington,11435
223,15795.70898,No,M,High School,Clerical,42.180813,Private,15860,SUV,1,Washington,11435
224,1101.678305,No,M,High School,Student,11.42095703,Private,10900,Minivan,1,Washington,11435
225,63694.71868,Yes,F,,Manager,30.32349174,Private,14170,,12,Washington,11435
226,,No,M,High School,Blue Collar,36.46701103,Commercial,11030,Pickup,4,Washington,11435
227,12236.10714,No,,High School,Home Maker,66.19076796,Private,16320,SUV,8,Washington,11435
228,62486.2025,No,F,Bachelors,Professional,57.3583139,Commercial,20690,Van,4,Washington,11435
229,45827.67153,Yes,F,High School,Blue Collar,,Commercial,16420,Minivan,10,Washington,11435
230,152059.8036,Yes,F,PhD,Manager,34.46872349,Private,33380,,,Washington,11435
231,23953.42563,Yes,F,High School,Clerical,38.84084401,Private,7200,Sports Car,8,Washington,11435
232,81024.32636,No,M,Masters,,30.8055906,Commercial,21480,Van,17,Washington,11435
233,28853.09312,No,M,High School,Clerical,18.85100263,Private,4390,SUV,1,Washington,11435
234,86267.50581,No,M,Bachelors,Blue Collar,48.06235447,Commercial,34310,Panel Truck,12,Washington,11435
235,58530.20573,No,M,Bachelors,Blue Collar,21.47224067,Commercial,16480,Sports Car,1,Washington,11435
236,148442.6402,Yes,F,Masters,Lawyer,40.11941984,Private,18500,Sports Car,11,Washington,11435
237,61219.91962,No,M,High School,,45.5379056,,,SUV,1,Washington,11435
238,0,Yes,F,High School,Student,,,16010,SUV,1,Washington,11435
239,,No,,Masters,Lawyer,8.760570444,Private,,,20,Washington,11435
240,82761.8404,No,M,Bachelors,Manager,34.83950603,Private,,Minivan,4,Washington,11435
241,204667.5897,Yes,F,Masters,,31.51556079,Commercial,21970,Van,,,11435
242,0,No,M,,Home Maker,22.3222614,Private,,,10,Washington,11435
243,20554.56402,No,M,High School,Clerical,25.91614866,Private,7760,SUV,11,Washington,11435
244,44437.96893,No,F,High School,Blue Collar,43.33811443,,,,1,Washington,11435
245,10729.74262,No,M,High School,Student,5,Private,16150,SUV,,Washington,11435
246,0,No,M,,Home Maker,29.21560105,Private,17700,SUV,12,Washington,11435
247,3603.639121,Yes,F,High School,Student,53.30267191,Commercial,10850,Pickup,8,Washington,11435
248,32381.4663,Yes,F,High School,Blue Collar,25.13025898,Commercial,16980,Sports Car,1,Washington,11435
249,7504.658115,No,M,,Home Maker,36.98058526,Private,14300,SUV,,Las Vegas,44412
250,75772.37801,No,F,High School,Blue Collar,41.08118853,Commercial,6400,Pickup,1,Las Vegas,44412
251,53209.5709,No,F,High School,,32.78794184,Commercial,23810,Panel Truck,8,Las Vegas,44412
252,0,No,F,High School,Student,22.84563443,Private,6600,SUV,1,Las Vegas,44412
253,2214.069804,No,M,High School,Home Maker,,Private,17470,SUV,1,Las Vegas,44412
254,189554.8586,No,M,PhD,Doctor,34.62354793,,1500,SUV,16,Las Vegas,44412
255,,No,M,High School,Student,54.74085716,,,SUV,7,Las Vegas,44412
256,11953.74961,No,F,High School,Clerical,15.79729794,Private,10190,SUV,,Las Vegas,44412
257,102903.8717,No,F,Masters,,47.0072688,Commercial,30460,Panel Truck,18,Las Vegas,44412
258,55726.86348,No,M,High School,Blue Collar,55.18763483,Commercial,7250,Pickup,6,Las Vegas,44412
259,12871.11929,Yes,F,Bachelors,Clerical,53.07316346,Private,16500,Minivan,6,Las Vegas,44412
260,0,No,M,,Student,34.38416804,,6000,SUV,7,Las Vegas,44412
261,55352.90711,Yes,F,High School,Blue Collar,41.1622157,Commercial,14090,SUV,6,Las Vegas,44412
262,105276.6218,No,M,Bachelors,Professional,30.04444658,Private,38000,Van,1,Las Vegas,44412
263,71197.08357,No,F,High School,Blue Collar,,Commercial,14520,Minivan,6,Las Vegas,44412
264,33644.06944,No,M,High School,Blue Collar,41.25038713,Commercial,21020,Minivan,1,Las Vegas,44412
265,16227.42875,No,M,High School,,39.45747184,Private,20770,Van,1,Las Vegas,44412
266,66840.83124,Yes,F,Bachelors,Manager,12.38084695,Private,4700,SUV,,Las Vegas,44412
267,46927.74799,No,M,Masters,Lawyer,52.63500496,Private,,,,Las Vegas,44412
268,17566.51355,Yes,F,High School,Clerical,14.42381152,,6360,Minivan,5,Las Vegas,44412
269,58504.00815,No,F,Bachelors,Blue Collar,,Commercial,20550,SUV,11,Las Vegas,44412
270,6017.600091,Yes,F,High School,,22.75884938,Private,9330,SUV,1,Las Vegas,44412
271,32708.12149,Yes,F,High School,Student,56.26995418,,,Panel Truck,1,Las Vegas,44412
272,0,Yes,F,Bachelors,Student,50.48439684,Private,9270,SUV,10,,44412
273,20764.88045,Yes,F,High School,Home Maker,19.49606134,Private,12510,Pickup,1,Las Vegas,44412
274,32956.01082,No,M,High School,Home Maker,,Commercial,18150,SUV,1,Las Vegas,44412
275,0,No,F,Masters,Home Maker,43.01889446,Private,5600,Sports Car,20,Las Vegas,44412
276,,Yes,,Bachelors,Clerical,36.71745022,Private,31960,Sports Car,7,Las Vegas,44412
277,33391.56753,No,M,High School,Clerical,56.53915787,Private,8140,Sports Car,10,Las Vegas,44412
278,78866.44664,No,F,Bachelors,Blue Collar,,Commercial,18270,Van,6,Las Vegas,44412
279,69475.68892,Yes,F,High School,Blue Collar,43.72727942,Private,12750,SUV,6,,44412
280,96599.45597,No,M,Bachelors,Professional,42.32818937,Private,12180,Pickup,8,Las Vegas,44412
281,114546.7095,No,,Masters,,28.82749322,Commercial,23760,Panel Truck,8,Las Vegas,44412
282,52626.24977,No,F,Bachelors,Clerical,,Private,10300,Pickup,,Las Vegas,44412
283,116869.5012,No,F,Masters,Manager,38.13377491,Private,11940,SUV,4,Las Vegas,44412
284,0,No,,High School,Student,15.37930286,Private,5800,Sports Car,6,Las Vegas,44412
285,15251.52473,No,M,High School,Clerical,31.31505782,Private,3030,Sports Car,1,Las Vegas,44412
